,Title,Rating,Votes,Oscars,Rating_Review_Correction,Rating_Review,Rating_Oscar_Correction,Rating_Oscar,Rating_New
0,A Gyűrűk Ura: A király visszatér,8.9,1829711.0,11.0,0.8,8.1,1.5,10.4,9.6
1,Forrest Gump,8.8,2056030.0,6.0,0.5,8.3,1.0,9.8,9.3
2,A sötét lovag,9.0,2626632.0,2.0,0.0,9.0,0.3,9.3,9.3
3,A remény rabjai,9.2,2654152.0,0.0,0.0,9.2,0.0,9.2,9.2
4,A keresztapa,9.2,1839751.0,3.0,0.8,8.4,0.5,9.7,8.9
5,Eredet,8.7,2327816.0,4.0,0.3,8.4,0.5,9.2,8.9
6,A keresztapa II,9.0,1260522.0,6.0,1.3,7.7,1.0,10.0,8.7
7,Schindler listája,8.9,1344775.0,7.0,1.3,7.6,1.0,9.9,8.6
8,A Gyűrűk Ura: A gyűrű szövetsége,8.8,1857696.0,4.0,0.7,8.1,0.5,9.3,8.6
9,Ponyvaregény,8.8,2031607.0,1.0,0.6,8.2,0.3,9.1,8.5
10,Mátrix,8.7,1897384.0,4.0,0.7,8.0,0.5,9.2,8.5
11,Harcosok klubja,8.7,2099410.0,0.0,0.5,8.2,0.0,8.7,8.2
12,A Gyűrűk Ura: A két torony,8.7,1652180.0,2.0,1.0,7.7,0.3,9.0,8.0
13,A Birodalom visszavág,8.7,1282306.0,1.0,1.3,7.4,0.3,9.0,7.7
14,Hetedik,8.6,1634870.0,0.0,1.0,7.6,0.0,8.6,7.6
15,Nagymenők,8.7,1150024.0,1.0,1.5,7.2,0.3,9.0,7.5
16,Száll a kakukk fészkére,8.6,1001777.0,5.0,1.6,7.0,0.5,9.1,7.5
17,Tizenkét dühös ember,9.0,783664.0,0.0,1.8,7.2,0.0,9.0,7.2
18," A Jó, a Rossz és a Csúf",8.8,757033.0,0.0,1.8,7.0,0.0,8.8,7.0
19,A hét szamuráj,8.6,344842.0,0.0,2.3,6.3,0.0,8.6,6.3
